"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2018","16.712","16.835","16.915","16.575","79.07K","-0.50%"
"02/15/2018","16.796","16.830","16.950","16.605","81.01K","-0.49%"
"02/14/2018","16.878","16.525","16.905","16.325","105.02K","2.12%"
"02/13/2018","16.528","16.515","16.645","16.410","72.46K","-0.25%"
"02/12/2018","16.570","16.295","16.580","16.280","80.18K","2.67%"
"02/09/2018","16.139","16.340","16.405","16.130","90.66K","-1.24%"
"02/08/2018","16.341","16.350","16.425","16.190","99.84K","0.63%"
"02/07/2018","16.238","16.590","16.730","16.210","118.22K","-2.06%"
"02/06/2018","16.580","16.710","16.955","16.540","100.24K","-0.55%"
"02/05/2018","16.671","16.610","16.865","16.510","94.88K","-0.23%"
"02/02/2018","16.709","17.180","17.225","16.520","135.34K","-2.60%"
"02/01/2018","17.155","17.295","17.375","17.070","87.76K","-0.50%"
"01/31/2018","17.241","17.105","17.375","17.065","102.77K","1.07%"
"01/30/2018","17.058","17.140","17.310","17.040","82.04K","-0.40%"
"01/29/2018","17.127","17.420","17.470","17.085","86.26K","-1.80%"
"01/26/2018","17.441","17.290","17.530","17.235","81.60K","-0.99%"
"01/25/2018","17.615","17.555","17.705","17.125","132.61K","0.72%"
"01/24/2018","17.489","17.040","17.625","16.985","122.20K","3.41%"
"01/23/2018","16.913","16.990","17.090","16.735","89.80K","-0.45%"
"01/22/2018","16.989","17.045","17.105","16.945","55.13K","-0.28%"
"01/19/2018","17.036","16.960","17.130","16.960","59.28K","0.48%"
"01/18/2018","16.954","16.990","17.140","16.915","91.13K","-1.23%"
"01/17/2018","17.166","17.210","17.310","16.980","101.59K","-0.13%"
"01/15/2018","17.189","17.235","17.450","16.800","178.83K","0.28%"
"01/12/2018","17.141","17.000","17.300","16.995","117.34K","1.03%"
"01/11/2018","16.966","17.000","17.065","16.880","111.34K","-0.41%"
"01/10/2018","17.035","16.985","17.220","16.930","112.06K","0.15%"
"01/09/2018","17.010","17.160","17.170","16.945","93.76K","-0.78%"
"01/08/2018","17.144","17.270","17.300","17.065","85.87K","-0.82%"
"01/05/2018","17.285","17.265","17.325","17.130","85.39K","0.09%"
"01/04/2018","17.269","17.155","17.320","17.025","96.73K","0.01%"
"01/03/2018","17.267","17.225","17.285","17.065","91.81K","0.35%"
"01/02/2018","17.206","17.035","17.250","16.985","78.64K","0.36%"
"12/29/2017","17.145","16.905","17.175","16.865","74.52K","1.31%"
"12/28/2017","16.923","16.745","16.930","16.710","63.44K","1.00%"
"12/27/2017","16.756","16.610","16.785","16.555","58.14K","0.92%"
"12/26/2017","16.604","16.445","16.640","16.365","42.30K","0.97%"
"12/22/2017","16.444","16.180","16.485","16.165","52.82K","1.26%"
"12/21/2017","16.239","16.235","16.305","16.140","46.18K","-0.22%"
"12/20/2017","16.275","16.170","16.320","16.150","57.40K","0.76%"
"12/19/2017","16.153","16.180","16.260","16.095","55.05K","-0.32%"
"12/18/2017","16.205","16.085","16.215","16.050","47.26K","0.88%"
"12/15/2017","16.063","15.920","16.120","15.915","59.07K","0.81%"
"12/14/2017","15.934","16.100","16.150","15.855","72.92K","0.41%"
"12/13/2017","15.869","15.740","16.180","15.685","84.81K","1.28%"
"12/12/2017","15.668","15.730","15.830","15.635","64.63K","-0.74%"
"12/11/2017","15.785","15.845","15.905","15.700","57.10K","-0.24%"
"12/08/2017","15.823","15.745","15.910","15.720","75.62K","0.13%"
"12/07/2017","15.802","15.970","16.005","15.660","76.25K","-0.96%"
"12/06/2017","15.955","16.135","16.170","15.935","71.28K","-0.70%"
"12/05/2017","16.068","16.340","16.380","16.040","85.98K","-1.86%"
"12/04/2017","16.373","16.370","16.455","16.265","71.48K","-0.09%"
"12/01/2017","16.388","16.455","16.585","16.265","99.98K","-0.52%"
"11/30/2017","16.474","16.585","16.625","16.345","93.59K","-0.53%"
"11/29/2017","16.561","16.920","16.965","16.555","112.60K","-1.55%"
"11/28/2017","16.822","17.020","17.080","16.720","96.96K","-1.16%"
"11/27/2017","17.020","17.020","17.170","16.980","80.44K","0.16%"
"11/23/2017","16.992","17.120","17.135","16.940","88.82K","-0.70%"
"11/22/2017","17.112","16.950","17.150","16.925","84.42K","0.90%"
"11/21/2017","16.960","16.900","17.035","16.885","81.66K","0.70%"
"11/20/2017","16.842","17.335","17.335","16.820","141.90K","-3.06%"
"11/17/2017","17.373","17.080","17.385","17.020","101.84K","1.76%"
"11/16/2017","17.072","16.975","17.125","16.945","74.47K","0.60%"
"11/15/2017","16.971","17.025","17.205","16.940","103.79K","-0.60%"
"11/14/2017","17.073","17.060","17.095","16.860","74.76K","0.15%"
"11/13/2017","17.047","16.860","17.070","16.820","71.77K","1.04%"
"11/10/2017","16.871","16.995","17.095","16.785","92.24K","-0.61%"
"11/09/2017","16.975","17.060","17.145","16.910","101.13K","-0.95%"
"11/08/2017","17.138","16.950","17.265","16.950","91.20K","1.17%"
"11/07/2017","16.940","17.230","17.240","16.920","94.39K","-1.71%"
"11/06/2017","17.235","16.835","17.270","16.795","100.58K","2.38%"
"11/03/2017","16.834","17.125","17.195","16.770","106.70K","-1.77%"
"11/02/2017","17.137","17.150","17.255","17.050","103.69K","-0.23%"
"11/01/2017","17.176","16.710","17.210","16.670","122.16K","2.89%"
"10/31/2017","16.693","16.865","16.910","16.645","70.53K","-0.91%"
"10/30/2017","16.847","16.850","16.900","16.690","62.11K","0.57%"
"10/27/2017","16.752","16.800","16.870","16.600","104.87K","-0.35%"
"10/26/2017","16.811","16.960","17.045","16.755","90.88K","-0.67%"
"10/25/2017","16.925","16.960","17.050","16.810","92.34K","-0.24%"
"10/24/2017","16.966","17.100","17.170","16.890","86.62K","-0.64%"
"10/23/2017","17.075","17.035","17.130","16.870","90.65K","-0.02%"
"10/20/2017","17.078","17.275","17.315","16.945","98.34K","-1.03%"
"10/19/2017","17.255","17.015","17.315","16.930","107.47K","1.52%"
"10/18/2017","16.997","17.045","17.120","16.920","69.76K","-0.26%"
"10/17/2017","17.041","17.260","17.280","16.985","89.38K","-1.89%"
"10/16/2017","17.369","17.425","17.495","17.135","77.74K","-0.24%"
"10/13/2017","17.411","17.275","17.450","17.200","78.07K","0.84%"
"10/12/2017","17.266","17.190","17.290","17.135","59.84K","0.78%"
"10/11/2017","17.133","17.150","17.265","17.085","65.77K","-0.43%"
"10/10/2017","17.207","16.990","17.280","16.960","89.44K","1.39%"
"10/09/2017","16.971","16.850","17.030","16.765","55.69K","1.08%"
"10/06/2017","16.790","16.610","16.890","16.345","104.60K","0.91%"
"10/05/2017","16.638","16.620","16.770","16.590","53.46K","0.08%"
"10/04/2017","16.624","16.665","16.920","16.555","72.04K","-0.16%"
"10/03/2017","16.650","16.605","16.690","16.570","48.23K","-0.02%"
"10/02/2017","16.654","16.670","16.750","16.565","63.04K","-0.13%"
"09/29/2017","16.676","16.900","16.905","16.640","71.45K","-1.02%"
"09/28/2017","16.847","16.780","16.925","16.705","68.13K","0.12%"
"09/27/2017","16.827","16.870","16.940","16.750","84.70K","-0.33%"
"09/26/2017","16.883","17.200","17.295","16.815","88.63K","-1.54%"
"09/25/2017","17.147","17.030","17.225","16.870","89.51K","0.96%"
"09/22/2017","16.984","17.035","17.100","16.940","53.77K","-0.20%"
"09/21/2017","17.018","17.225","17.225","16.865","87.13K","-1.82%"
"09/20/2017","17.334","17.345","17.445","17.010","81.01K","0.32%"
"09/19/2017","17.279","17.245","17.375","17.160","69.53K","0.72%"
"09/18/2017","17.156","17.655","17.675","17.110","86.39K","-3.08%"
"09/15/2017","17.701","17.845","17.915","17.630","74.83K","-0.49%"
"09/14/2017","17.789","17.845","17.865","17.660","85.70K","-0.44%"
"09/13/2017","17.867","17.970","18.125","17.725","81.84K","-0.13%"
"09/12/2017","17.890","17.885","17.975","17.785","62.46K","-0.07%"
"09/11/2017","17.902","17.920","17.990","17.770","79.83K","-1.22%"
"09/08/2017","18.123","18.205","18.290","17.965","85.95K","0.04%"
"09/07/2017","18.116","17.950","18.225","17.865","89.91K","1.15%"
"09/06/2017","17.910","17.980","18.070","17.885","72.63K","-0.17%"
"09/04/2017","17.941","17.880","18.090","17.835","101.15K","0.70%"
"09/01/2017","17.816","17.660","17.825","17.505","81.51K","1.37%"
